Date,Weekday,Hour,Demand,PV,Price
7/1/2017,Weekend,0,632.88,0,22.770001
7/1/2017,Weekend,1,546.84,0,22.95
7/1/2017,Weekend,2,494.46,0,20.45
7/1/2017,Weekend,3,541.08,0,19.8
7/1/2017,Weekend,4,533.7,0,18.78
7/1/2017,Weekend,5,519.12,0,17.63
7/1/2017,Weekend,6,618.48,0.813702,20.81
7/1/2017,Weekend,7,725.76,6.42852,21.609999
7/1/2017,Weekend,8,774.72,14.279,22.38
7/1/2017,Weekend,9,688.14,25.0328,25.72
7/1/2017,Weekend,10,637.38,39.3983,29.869999
7/1/2017,Weekend,11,626.76,43.4587,29.82
7/1/2017,Weekend,12,630.54,46.8298,64.359999
7/1/2017,Weekend,13,669.96,50.1927,39.83
7/1/2017,Weekend,14,610.56,51.4281,43.39
7/1/2017,Weekend,15,611.64,49.0736,32.77
7/1/2017,Weekend,16,624.42,40.0904,30.72
7/1/2017,Weekend,17,658.26,30.3233,54.12
7/1/2017,Weekend,18,770.58,20.2561,51.37
7/1/2017,Weekend,19,821.88,6.63127,29.450001
7/1/2017,Weekend,20,884.52,0.800186,27.190001
7/1/2017,Weekend,21,863.82,0.00810999,26.87
7/1/2017,Weekend,22,833.76,0,23.74
7/1/2017,Weekend,23,752.76,0,21.84
7/2/2017,Weekend,0,669.78,0,20.44
7/2/2017,Weekend,1,574.2,0,21.09
7/2/2017,Weekend,2,519.3,0,19.75
7/2/2017,Weekend,3,551.34,0,18.200001
7/2/2017,Weekend,4,524.52,0,16.900001
7/2/2017,Weekend,5,508.14,0,15.100001
7/2/2017,Weekend,6,556.92,0.781262,16.79
7/2/2017,Weekend,7,654.3,2.89527,20.54
7/2/2017,Weekend,8,783.36,7.2287,21.039999
7/2/2017,Weekend,9,760.5,15.0657,24.229999
7/2/2017,Weekend,10,750.06,14.0762,27.699999
7/2/2017,Weekend,11,744.66,18.8828,31.670001
7/2/2017,Weekend,12,729.72,24.7355,33.650001
7/2/2017,Weekend,13,782.46,50.2576,30.8
7/2/2017,Weekend,14,707.04,54.3018,49.25
7/2/2017,Weekend,15,711.72,51.0443,52.820001
7/2/2017,Weekend,16,703.62,43.9751,74.72
7/2/2017,Weekend,17,730.44,32.4291,82.84
7/2/2017,Weekend,18,817.2,21.0454,34.16
7/2/2017,Weekend,19,831.96,8.09107,33.789999
7/2/2017,Weekend,20,871.38,0.759636,32.59
7/2/2017,Weekend,21,853.74,0.00810999,37.679999
7/2/2017,Weekend,22,819,0,24.41
7/2/2017,Weekend,23,754.56,0,23.6
7/3/2017,Weekday,0,673.38,0,22.859999
7/3/2017,Weekday,1,577.44,0,20.83
7/3/2017,Weekday,2,523.26,0,19.59
7/3/2017,Weekday,3,524.34,0,18.31
7/3/2017,Weekday,4,552.06,0,18.6
7/3/2017,Weekday,5,491.4,0,19.599999
7/3/2017,Weekday,6,539.64,0.624469,20.78
7/3/2017,Weekday,7,625.86,4.71461,21.630001
7/3/2017,Weekday,8,752.04,10.0645,24.379999
7/3/2017,Weekday,9,763.92,16.9823,30.6
7/3/2017,Weekday,10,770.22,23.1811,31.129999
7/3/2017,Weekday,11,741.42,20.8967,32.07
